parid,boro,block,lot,exmp_code,year,period,benftstart,condo_number,condo_sfx,coop_num,description,phase_out_start,benefit_year,exmp_end,current_benefit_year,flag_421a16,flag_phasing
1010720001,1,1072,1,5121,2026,3,2019,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2053,8,Yes,NA
1010720050,1,1072,50,5116,2026,3,2018,NA,NA,0,421A 20 YR NO CAP,13,20,2037,9,No,No
1010760043,1,1076,43,5116,2025,3,2005,NA,NA,0,421A 20 YR NO CAP,13,20,2024,Expired,No,NA
1010830029,1,1083,29,5116,2023,3,2003,NA,NA,0,421A 20 YR NO CAP,13,20,2022,Expired,No,NA
1010830037,1,1083,37,5116,2023,3,2003,NA,NA,0,421A 20 YR NO CAP,13,20,2022,Expired,No,NA
1010840025,1,1084,25,5116,2026,3,2006,NA,NA,0,421A 20 YR NO CAP,13,20,2025,Expired,No,NA
1010890001,1,1089,1,5120,2026,3,2023,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2057,4,Yes,NA
1011040031,1,1104,31,5123,2026,3,2019,NA,NA,0,421A 35 YR,NA,35,2053,8,Yes,NA
1011050029,1,1105,29,5116,2026,3,2007,NA,NA,0,421A 20 YR NO CAP,13,20,2026,20,No,Yes
1011050036,1,1105,36,5116,2026,3,2019,NA,NA,0,421A 20 YR NO CAP,13,20,2038,8,No,No
1011320021,1,1132,21,5116,2026,3,2018,NA,NA,0,421A 20 YR NO CAP,13,20,2037,9,No,No
1011320035,1,1132,35,5116,2026,3,2016,NA,NA,0,421A 20 YR NO CAP,13,20,2035,11,No,No
1011520013,1,1152,13,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1011580012,1,1158,12,5117,2026,3,2017,NA,NA,0,421A 10 YR CAP,3,10,2026,10,No,Yes
1011690016,1,1169,16,5116,2026,3,2016,NA,NA,0,421A 20 YR NO CAP,13,20,2035,11,No,No
1011710062,1,1171,62,5120,2026,3,2024,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2058,3,Yes,NA
1011710063,1,1171,63,5120,2026,3,2018,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2052,9,Yes,NA
1011710133,1,1171,133,5116,2025,3,2005,NA,NA,0,421A 20 YR NO CAP,13,20,2024,Expired,No,NA
1011710148,1,1171,148,5110,2023,3,2013,NA,NA,0,421A 10 YR NO CAP,3,10,2022,Expired,No,NA
1011710155,1,1171,155,5116,2021,3,2019,NA,NA,0,421A 20 YR NO CAP,13,20,2038,8,No,No
1011710157,1,1171,157,5121,2026,3,2020,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2054,7,Yes,NA
1012200001,1,1220,1,5116,2021,3,2001,NA,NA,0,421A 20 YR NO CAP,13,20,2020,Expired,No,NA
1012400052,1,1240,52,5116,2026,3,2009,NA,NA,0,421A 20 YR NO CAP,13,20,2028,18,No,Yes
1012420010,1,1242,10,5120,2026,3,2024,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2058,3,Yes,NA
1012429055,1,1242,9055,5120,2026,3,2024,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2058,3,Yes,NA
1012430139,1,1243,139,5110,2023,3,2013,NA,NA,0,421A 10 YR NO CAP,3,10,2022,Expired,No,NA
1012980041,1,1298,41,5116,2024,3,2004,NA,NA,0,421A 20 YR NO CAP,13,20,2023,Expired,No,NA
1013170009,1,1317,9,5116,2023,3,2020,NA,NA,0,421A 20 YR NO CAP,13,20,2039,7,No,No
1013190037,1,1319,37,5116,2026,3,2011,NA,NA,0,421A 20 YR NO CAP,13,20,2030,16,No,Yes
1013270033,1,1327,33,5121,2026,3,2022,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2056,5,Yes,NA
1013470122,1,1347,122,5116,2025,3,2005,NA,NA,0,421A 20 YR NO CAP,13,20,2024,Expired,No,NA
